序号,高校名称,软科排名（2025）,高校名称（英文）,类型,是否进行AIGC查重,tool_specified,check_framework,linked_to_pass
1,清华大学,1,Tsinghua University,综合,否,0,0,0
2,北京大学,2,Peking University,综合,否,0,0,0
3,浙江大学,3,Zhejiang University,综合,是,1,1,0
4,上海交通大学,4,Shanghai Jiao Tong University,综合,否,0,0,0
5,复旦大学,5,Fudan University,综合,否,0,0,0
6,南京大学,6,Nanjing University,综合,是,1,1,0
7,中国科学技术大学,7,University of Science and Technology of China,理工,否,0,0,0
8,武汉大学,8,Wuhan University,综合,否,0,0,0
9,华中科技大学,9,Huazhong University of Science and Technology,综合,是,1,1,1
10,西安交通大学,10,Xi'an Jiaotong University,综合,是,0,0,0
11,北京航空航天大学,11,Beihang University,理工,否,0,0,0
12,中山大学,12,Sun Yat-sen University,综合,否,0,0,0
13,北京理工大学,13,Beijing Institute of Technology,综合,否,0,0,0
15,哈尔滨工业大学,14,Harbin Institute of Technology,理工,否,0,0,0
16,四川大学,15,Sichuan University,综合,是,0,1,1
17,东南大学,16,Southeast University,综合,是,1,1,1
18,中国人民大学,17,Renmin University of China,综合,否,0,0,0
19,同济大学,18,Tongji University,综合,否,0,0,0
20,北京师范大学,19,Beijing  Normal University,师范,否,0,0,0
21,天津大学,20,Tianjin University,理工,否,0,0,0
22,西北工业大学,21,Northwestern Polytechnical University,理工,否,0,0,0
23,山东大学,22,Shangdong University,综合,否,0,0,0
24,南开大学,23,Nankai University,综合,否,0,0,0
25,厦门大学,24,Xiamen University,综合,否,0,0,0
26,中国农业大学,25,China Agricultural University,农业,否,0,0,0
27,吉林大学,26,Jilin University,综合,是,0,1,0
28,中南大学,27,Central South University,综合,是,0,1,0
29,大连理工大学,28,Dalian University of Technology,理工,否,0,0,0
30,湖南大学,29,Hunan University,综合,否,0,0,0
31,华东师范大学,30,East China Normal University,师范,否,0,0,0
32,华南理工大学,31,South China University of Technology,理工,否,0,0,0
33,南方科技大学,32,Southern University of Science and Technology,综合,否,0,0,0
34,电子科技大学,33,University of Electronic Science and Technology of China,理工,否,0,0,0
35,重庆大学,34,Chongqing University,综合,否,0,0,0
36,北京科技大学,35,University of Science and Technology Beijing,理工,否,0,0,0
