ID,univ_name_cn,univ_name_en,shanghairank_2025,Inst_type,tool_name,check_level,threshold,policy_summary,tool_specified(0/1),check_framework(0/1),linked_to_pass(0/1),source_url,policy_scope,release_date,retrieval_rd1(2025.5.6-5.29),retrieval_rd1(2025.6.1-6.14),retrieval_rd1(6.18-7.11),snapshot_filename
1,清华大学,Tsinghua University,1,综合,,,,,0,0,0,None,院级,,2025/5/6,2025/6/1,2025/6/18,
2,北京大学,Peking University,2,综合,,,,,0,0,0,None,校级,,2025/5/6,2025/6/1,2025/6/18,
3,浙江大学,Zhejiang University,3,综合,维普检测系统,本科生,"四、查重检测要求
（1）查重率在10%以下的为通过，根据检测报告做适当修改；
（2）查重率在10%-20%为修改后通过，需要指导教师督促修改并确认；
（3）查重率在20%以上的为不通过，需要重大修改后再次查重；
（4）论文重复率未达到标准，如需修改后重新检测，请于答辩前联系本科教学办，查重率在10%以下方能进入答辩。如经答辩小组判断可以答辩的，视为通过，但需由本人或指导教师提交书面情况说明，答辩小组确认后交本科教学科备案。学生需重视查重后的论文修改，并将查重报告和全文报告单及时发送给自己的指导老师。本次AIGC检测结果仅作为毕业论文（设计）质量的参考依据，供指导教师、答辩委员等有针对性地核实学生掌握相关专业知识与能力的情况，不作为强制性评价标准，不与论文通过与否直接挂钩。","为强化学术诚信教育，规范本科生在毕业论文（设计）中科学合理使用生成式人工智能技术，防范学术不端，学校决定在2025届本科生毕业论文（设计）查重环节，同步提供AIGC检测机会，具体事宜如下。

一、检测平台

知网查重、AIGC检测功能已链入本科教学管理信息服务平台（网址：zdbk.zju.edu.cn，以下简称教务系统），学生可直接通过教务系统进行毕业论文查重和AIGC检测。",1,1,0,https://physics.zju.edu.cn/2025/0415/c70896a3038237/page.psp,院级,2025/4/15,2025/5/6,2025/6/1,2025/6/18,浙江大学【2025届本科生毕业论文5号】关于本科生毕业论文（设计）查重的说明.mhtml
4,上海交通大学,Shanghai Jiao Tong University,4,综合,,,,,0,0,0,https://plan.sjtu.edu.cn/info/1025/4295.htm,校级,,2025/5/6,2025/6/2,2025/6/18,
5,复旦大学,Fudan University,5,综合,,,,"复旦大学关于在本科毕业论文（设计）中使用AI工具的规定（试行）
第一条 目的与依据
为规范 AI 工具在本科毕业论文（设计）中的使用，确保学术诚信，提高教学质量，防范学术不端，根据《复旦大学关于本科毕业论文（设计）工作的若干规定》第六条，制定本规定。

第二条 定义
本规定中的 AI 工具包括生成式人工智能（Generative AI，简称“GenAI”或“生成式AI”）和人工智能辅助工具（简称“AI辅助工具”）。

1.生成式AI：指利用人工智能技术生成文本、图像、声音等内容的工具，如ChatGPT、GPTs、文心一言等。

2.AI辅助工具：指利用人工智能技术辅助进行语言润色、数据分析、图表制作等工作的工具。

第三条允许使用范围

第三条 允许使用范围
原则：征得指导教师同意的前提下，且当AI工具生成的内容不影响对学生在毕业论文（设计）中的创新等能力的考察时，作者可在以下范围内使用AI工具：

1.文献检索与整理：允许使用AI工具进行文献检索、关键词推荐和文献管理，但须确保所引用的文献的真实性和可靠性。

2.二次创作图表类型推荐与辅助制图：允许使用AI工具推荐统计图表类型和辅助制图，但不得用于生成或修改原始研究数据及关键的研究图表，更不得用于美术设计等图表本身为考察内容的毕业论文（设计）中，还应确保最终图表的原创性。

3.非创新性方法的AI工具辅助：研究方法不属于毕业论文（设计）创新内容时，允许使用AI工具辅助程序代码编写、调试和错误排查，允许使用AI工具辅助统计学方法、实验方法、调研方法等研究方法的筛选与推荐，但应确保最终代码或研究方法的逻辑性、准确性、科学性和可维护性，所有代码或研究方法须经过作者审核和测试。

4.参考文献格式整理：允许使用AI工具进行参考文献格式的规范化检查和自动排序，但须对生成内容进行核查。

第四条 禁止使用范围
1.研究设计与数据分析：禁止使用AI工具进行研究方案设计、创新性方法设计、算法（模型）框架搭建、毕业论文（设计）结构设计、研究（设计）选题、研究（设计）意义及创新性总结、研究假设提出、数据分析、结果分析与讨论和结论总结等。

2.原始数据收集：禁止使用AI工具生成或改动本科毕业论文（设计）中的原始数据，如实验数据、统计数据、田野调查数据等。除非AI技术本身就是研究（设计）的主题，其原始数据必须由AI算法生成。

3.结果图片与重要插图创作：禁止使用AI工具生成或改动本科毕业论文（设计）中的原创性或实验性的结果图片、图像和插图，除非是在确保方法可复现的情况下AI技术本身就是研究设计的一部分，并须在正文的方法部分中说明。

4.论文撰写：禁止直接使用AI工具生成本科毕业论文（设计）的正文文本、致谢或其他组成部分，AI工具可以在学生学习如何撰写毕业论文（设计）阶段中辅助写作，但不能代替作者的最终独立创作。语言表达能力仍然是毕业论文（设计）考察的重点，禁止使用AI工具进行语言润色和翻译。

5.答辩与检查：答辩或校内论文检查时，禁止答辩委员、评审专家使用任何AI工具对学生的本科毕业论文（设计）进行评审，包括但不限于使用AI工具总结学生本科毕业论文（设计）的核心内容，生成评审意见等。

6.涉密内容：本科毕业论文（设计）涉及保密内容的，禁止使用任何AI工具，禁止上传任何数据和图片到AI平台。

第五条 披露与声明
使用AI工具时，须在本科毕业论文（设计）承诺书中明确披露以下信息：

1.使用的AI工具名称和版本号；使用的时间和具体用途；

2.AI工具生成的内容或提供的建议；

3.AI工具在论文中的具体使用部分，如方法部分或文献综述部分；

4.须保留AI工具处理之前的相关重要材料，以备指导老师或评审专家对学生使用AI工具的检查和质询。

第六条 责任与署名
1.作者须对使用AI工具生成的内容负最终责任，AI工具不能被列为作者或共同作者。

2.使用AI工具时，应确保最终作品的原创性和学术诚信，避免学术不端行为。

第七条 合规使用流程及责任
1.学生本科毕业论文（设计）中使用AI工具应事先征得指导教师同意，并在使用时遵循学校及院系的相关规定。

2.院系应在本规定的框架下制定针对本专业的毕业论文（设计）中使用AI工具的规定，应在必要时提供关于AI工具使用的指导，帮助指导老师和学生正确地使用这些技术。

3.学生在本科毕业论文（设计）中合理合规使用AI工具的，指导教师、答辩委员、校内评审专家在指导阶段、答辩阶段、校内检查阶段仍可以增加适当的补充考核措施，以核实学生是否已掌握了应该掌握的相关专业知识与能力。

4.学生违反相关规定使用AI工具的，视情节给予纳入本科毕业论文（设计）考核成绩、不准答辩、取消合格成绩等处理；构成学术不端（不当）的，按照相关校纪校规给予纪律处分、取消学位申请资格、撤销学位等处理。

第八条 附则
1.本规定基于当前AI技术的发展阶段制定，将根据AI技术的发展不定时进行修订。

2.考试论文、学年论文、课程论文等考核性论文（设计）若无具体的针对性规定，亦可参照此规定执行。

3.在发表的学术论文（交流性论文）或学术研究活动中使用AI工具另有规定，不适用此规定。

4.本规定自发布之日起施行，由教务处负责解释",0,0,0,https://www.fudan.design/ai.html,校级,,2025/5/7,2025/6/2,2025/6/18,
6,南京大学,Nanjing University,6,综合,维普检测系统,本科生,,"三、AIGC检测

为引导同学们合理规范使用生成式人工智能工具，确保最终学术成果的原创性和学术诚信，本届毕业论文面向学院开放“维普AIGC检测”,由学院自主选择使用检测功能（是否需要检测请以各学院通知为准）。该功能可为学生提供单次免费检测服务，其检测结果是基于算法模型的概率性分析，存在技术局限性，仅作为学术规范性辅助参考，不作为论文原创性判定依据。AIGC检测分为学生检测或者学院集中上传两种模式。需通过毕业论文管理系统，维普检测系统学校专用登录地址https://cloud.fanyu.com/organ/lib/nju。
学生账号：学号
初始密码：nju学号（例如：nju2025123）
检测完成后，学院及学生均可在系统中查询到AIGC检测结果。请各位同学务必注意，在毕业论文生成式人工智能工具使用过程应进行申请备案、并进行完整过程记录以及监督，论文终稿应附《南京大学本科毕业论文（设计）人工智能使用备案表》，所有AIGC检测相关文件以及操作说明请查看附件中AIGC检测相关文件。有给出AIGC检测相关文件；为引导同学们合理规范使用生成式人工智能工具，确保最终学术成果的原创性和学术诚信，本届毕业论文面向学院开放“维普AIGC检测”,由学院自主选择使用检测功能（是否需要检测请以各学院通知为准）。该功能可为学生提供单次免费检测服务，其检测结果是基于算法模型的概率性分析，存在技术局限性，仅作为学术规范性辅助参考，不作为论文原创性判定依据。AIGC检测分为学生检测或者学院集中上传两种模式。需通过毕业论文管理系统，维普检测系统学校专用登录地址https://cloud.fanyu.com/organ/lib/nju。",1,1,0,https://jw.nju.edu.cn/99/f7/c26263a760311/page.htm,校级,2025/5/20,2025/5/7,2025/6/2,2025/6/18,南京大学关于加强2025年本科毕业论文（设计）管理工作的通知.mhtml
7,中国科学技术大学,University of Science and Technology of China,7,理工,,,,,0,0,0,None,院级,,2025/5/7,2025/6/2,2025/6/19,
8,武汉大学,Wuhan University,8,综合,,,,,0,0,0,None,校级,,2025/5/7,2025/6/2,2025/6/19,
9,华中科技大学,Huazhong University of Science and Technology,9,综合,“中国知网”检测系统,本科生,学院遵循以上原则并结合学科专业特点制定个性化的毕业设计（论文）AIGC检测阈值，检测结果低于阈值可视为正常的技术辅助，超过阈值应启动人工复核或者学术伦理调查。,"五、AIGC（生成式人工智能）检测要求

学校从今年起对毕业设计（论文）进行AIGC检测，在“中国知网”检测系统内上传毕业设计（论文）后， AIGC检测可与常规的论文查重同时进行，AIGC检测结果将和查重结果一并反馈给院（系）。

AIGC用于毕业设计（论文）的使用原则：AIGC仅可作为辅助手段，用于支持学生的学习和研究过程，但不能替代学生的独立思考和原创性贡献。学生应确保AIGC生成的内容不影响其毕业设计（论文）中的创新能力、实践能力和学术价值。学生应对AIGC生成的内容承担最终责任，并确保其符合学术规范和毕业设计（论文）的质量要求。

各院（系）应遵循以上原则并结合学科专业特点制定个性化的毕业设计（论文）AIGC检测阈值，检测结果低于阈值可视为正常的技术辅助，超过阈值应启动人工复核或者学术伦理调查。

鼓励各院（系）各专业发布“禁止使用”、“有限使用”、“鼓励使用”、“开放使用”的具体场景。建议毕业设计（论文）禁用AI生成的环节：文献综述、研究方案设计、创新性方法设计、原始数据收集、理论推导、总结结论等学术创新核心章节。建议毕业设计（论文）可以使用AI辅助的环节：文献检索与整理、二次创作图表类型推荐与辅助制图、非创新性方法的AI工具辅助、参考文献格式整理。",1,1,1,https://energy.hust.edu.cn/info/1099/6770.htm,院级,2025/4/14,2025/5/8,2025/6/2,2025/6/19,华中科技大学关于做好2025届本科毕业设计(论文)检测工作的通知.mhtml
10,西安交通大学,Xi'an Jiaotong University,10,综合,,,,,0,0,0,None,校级,,2025/5/8,2025/6/3,2025/6/19,
