id,univ_name_cn,univ_name_en,shanghairank_2025,Inst_type,tool_name,check_level,threshold,policy_summary,check_framework(0/1),tool_specified(0/1),linked_to_pass(0/1),source_url,Rationale,policy_scope,release_date,retrieval_rd1(2025.5.6-5.29),retrieval_rd1(2025.6.1-6.14),retrieval_rd1(6.18-7.11),snapshot_filename
1,清华大学,Tsinghua University,1,comprehensive universities,,,,,0,0,0,,,college-level,,2025/5/6,2025/6/1,2025/6/18,
2,北京大学,Peking University,2,comprehensive universities,,,,,0,0,0,,,university-level,,2025/5/6,2025/6/1,2025/6/18,
3,浙江大学,Zhejiang University,3,comprehensive universities,VIPS AIGC Detection System,undergraduate,"IV. Requirements for Plagiarism Detection

(1) A similarity rate below 10% is considered passing; appropriate revisions should be made based on the detection report.
(2) A similarity rate between 10% and 20% is considered passing after revision; the supervising instructor must oversee and confirm the revisions.
(3) A similarity rate above 20% is considered failing; substantial revisions are required, followed by another round of plagiarism detection.
(4) If the thesis similarity rate does not meet the standard and requires revision and re‑detection, please contact the Undergraduate Academic Office before the defense. A similarity rate below 10% is required to proceed to the defense. If the defense committee determines that the thesis may be defended, it shall be regarded as passing, but the student or the supervising instructor must submit a written explanation. The explanation will be confirmed by the defense committee and filed with the Undergraduate Academic Office. Students must attach importance to revising their theses after plagiarism detection and promptly send the plagiarism report and the full‑text report to their supervising instructor. The AIGC detection results are for reference only, serving as a basis for instructors and defense committee members to assess the student’s mastery of relevant professional knowledge and skills. They are not mandatory evaluation criteria and are not directly linked to whether the thesis passes.","To strengthen academic integrity education, regulate the scientific and reasonable use of generative artificial intelligence technology by undergraduate students in their graduation theses (designs), and prevent academic misconduct, the university has decided to provide AIGC detection alongside plagiarism detection for the 2025 undergraduate graduation theses (designs). Specific arrangements are as follows.

I. Detection Platform

The CNKI plagiarism detection and AIGC detection functions have been integrated into the Undergraduate Academic Management Information Service Platform (website: zdbk.zju.edu.cn, hereinafter referred to as the Academic System). Students can directly conduct graduation thesis plagiarism detection and AIGC detection through the Academic System.",1,1,0,https://physics.zju.edu.cn/2025/0415/c70896a3038237/page.psp,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation or degree theses, as the original text states that the university has officially decided to provide AIGC detection opportunities synchronously in the duplicate checking link of 2025 undergraduate graduation theses (design) and formulated formal provisions such as detection platforms and checking requirements; Tool specified is coded as 1: The university explicitly specifies a specific AIGC detection tool (e.g., CNKI AI Check, Turnitin AI detection), with the original text indicating that the CNKI (China National Knowledge Infrastructure) AIGC detection function has been linked to the undergraduate teaching management information service platform as the designated tool; Linked to pass is coded as 0: AIGC detection results are only advisory and do not affect thesis approval, defense eligibility, or degree conferral, as the original text clearly states the results are for reference only, not a mandatory evaluation standard, and not directly linked to the thesis passing status.",college-level,2025/4/15,2025/5/6,2025/6/1,2025/6/18,浙江大学【2025届undergraduate毕业论文5号】关于undergraduate毕业论文（设计）查重的说明.mhtml
4,上海交通大学,Shanghai Jiao Tong University,4,comprehensive universities,,,,"Article 1 The guidance aim to integrate the standard requirements of higher education into the whole life cycle of ""AI+ education and teaching"" reform, covering various processes such as scenario analysis, design and development, application deployment, evaluation and feedback, adjustment and maintenance, management optimization, etc. By innovating evaluation systems and standards, these guidances promote efficiency, credibility, fairness, and inclusiveness in all processes, effectively preventing risks such as technical incompetence, educational differentiation, algorithmic discrimination, privacy breaches, data insecurity, and cyber threats.

Article 2 These guidances apply to all stakeholders in the ""AI + Education and Teaching"" reform at SJTU, namely ""teachers,"" ""students,"" ""machines"" (AI technology systems), and the ""environment"" (educational and teaching ecological environment), including teaching management and assistant staff, inter-university cooperators, and social resource providers.

Article 3 While complying with domestic and international AI laws and guidances, Shanghai Jiao Tong University encourages active exploration of the use of AI in the field of higher education and teaching, promotes technology empowerment in various scenarios, promotes technology empowerment and risk prevention in various scenarios, constructs knowledge production models and new educational systems that meet the needs of the new era, and empowers students to enhance their comprehensive literacy.

Article 4 The term ""Artificial Intelligence (AI)"" in the guidances refers to the simulation, extension, or expansion of human intelligence through methods such as environmental perception, knowledge acquisition, deduction, and reasoning, including but not limited to various technical routes such as discriminative, generative, data-driven, and knowledge graph-driven AI. The term ""Human Intelligence (HI)"" refers to the unique ability to understand, apply, and create knowledge. These guidances strive to promote the combination of ""AI + HI"" to achieve the goal of benign human-machine collaboration.
Article 5 All parties involved in ""AI+ Education and teaching"" at Shanghai Jiao Tong University shall follow the following basic principles:
(1) Human-Centered and Learning-Focused Technology: Centering on the educational philosophy of ""making every student better,"" develop and apply AI technologies that benefit students' intellectual growth and teachers' instructional and educational efforts. Regularly assess the use situations of tools by teachers' and students', to ensure that technology application assists teaching goals and avoids complete substitution or singlefaceted reliance on teaching tasks.
(2) Legal, Compliant, Reliable, and Trustworthy Technology: AI services or products developed and applied in educational and teaching reforms should comply with the legal and regulatory requirements, ensuring fairness, clear responsibility, transparency, and traceability. AI applications should establish responsible entities and accountability processes.
(3) Respect for Diversity and Promotion of Open Collaboration: Respect the diversity of disciplines and knowledge in higher education, promote knowledge integration and innovation, explore autonomous and spontaneous personalized learning modes based on disciplinary characteristics, and pay attention to minority groups or interdisciplinary students to ensure widespread accessibility to shared educational resources.
(4) Encourage Experimental Reform and Tolerate Exploratory Innovation: Fully leverage the initiative and enthusiasm of teachers and students, encourage extensive AI experiments in all aspects and fields of education and teaching, explore optimization schemes for ""AI + HI"" in different scenarios, iteratively improve with tolerance for errors, and do not disrupt the existing teaching order while adhering to academic norms, teaching bottom lines, and ethical boundaries.
(5) Enhance Ethical Literacy and Encourage Agile Governance: Popularize knowledge on AI ethical governance through educational and teaching activities, agilely respond to potential risks, gradually improve governance norms, establish emergency response plans for different application scenarios, and construct a rapid response mechanism for teachers and students.
Article 6 According to the differences in application risks, these guidances classify AI applications in the field of higher education and teaching into four types: Prohibited Use, Limited Use, Encouraged Use, and Open Use, thereby promoting a multi-level reform of ""AI + Education and Teaching.""
1. Prohibited Use: Refers to scenarios or links with high risks or that teachers and students have unanimously opposed to upon thorough discussion. Scenarios prohibited from use should be clearly listed in the ""AI Application Prohibition List"" of SJTU, updated timely through the internal platform, and publicly disclosed to ensure that teachers and students are informed and comply accordingly.
2. Limited Use: Refers to scenarios or links with certain risks that require restricted use under specific conditions based on risk assessments as well as teacher-student discussions. Limited use should be dynamically assessed based on the following reference indicators:
 Privacy impact: Potential threat to the protection of personal information of teachers and students;
 Impact on learning effectiveness: Possible negative impact on teaching objectives and learning outcomes;
 Safety compliance: Whether it complies with relevant laws, guidances, and norms of the university.
Specific constraints should be set for limited-use scenarios, and reassessments should be conducted regularly.
3. Encouraged Use: Refers to scenarios or links with low risks or that teachers and students have reached a high consensus through discussion to promote application. AI tools or technologies encouraged for use need to pass the evaluation process of SJTU to ensure they meet educational and teaching goals, ethical norms, and technical reliability requirements.
4. Open Use: Refers to scenarios or cases with near-zero risks or that teachers and students have unanimously agreed on through discussion for wide use. AI technologies for open use should guarantee fairness, widely benefit teachers and students, and be promoted through the platforms of SJTU.
Furthermore, for scenarios or processes where disagreements persist between teachers and students after thorough discussion, an arbitration or review process can be introduced. The arbitration will be made based on technical evaluations, risk analyses, and educational objectives by the AI Education and Teaching Reform Governance Committee. Then, the committee will finalize the use list.
Article 7 The requirements for the standardized use of AI applications in the field of higher education and teaching cover different processes of before, during and after, including commitment, filing, impact assessment, risk recording and management, transparency and explainability, stakeholder consultation and other mechanisms and measures. For different types of AI applications, each scenario in the field of higher education and teaching should develop and improve the corresponding standard use requirements.",0,0,0,https://plan.sjtu.edu.cn/info/1025/4295.htm,"Check framework is coded as 0: The university does not explicitly require AIGC detection for graduation theses.
tool_specified = 0: The university does not explicitly specify a particular AIGC detection tool. The original text discusses principles, risk categories, and governance processes but does not mention any named commercial or proprietary software (e.g., ""CNKI detection system,"" ""Turnitin AI"") that must be used to check for AI-generated content in academic work. The focus is on ethical assessment and risk management, not on mandating a specific technical detection instrument.

linked_to_pass = 0: AIGC detection results (or compliance with these guidelines) are not directly linked to thesis approval or degree conferral in the provided text. The original text positions the guidelines as a means to ""promote efficiency, credibility, fairness, and inclusiveness"" and ""construct... new educational systems."" While it establishes an arbitration committee, it does not state that violations will result in actions like ""disqualification from defense"" or ""degree revocation."" The consequences appear geared towards governance and risk mitigation within the educational process, not as a direct determinant of academic graduation status.",university-level,,2025/5/6,2025/6/2,2025/6/18,
5,复旦大学,Fudan University,5,comprehensive universities,,,,"Fudan University Regulations on the Use of AI Tools in Undergraduate Theses (Designs) (Trial)

Article 1: Purpose and Basis
To standardize the use of AI tools in undergraduate theses (designs), ensure academic integrity, improve teaching quality, and prevent academic misconduct, these regulations are formulated in accordance with Article 6 of the Fudan University Regulations on Undergraduate Theses (Designs).

Article 2: Definitions
AI tools referred to in these regulations include Generative Artificial Intelligence (Generative AI, referred to as ""GenAI"" or ""Generative AI"") and Artificial Intelligence Auxiliary Tools (referred to as ""AI Auxiliary Tools"").

Generative AI: Refers to tools that use artificial intelligence technology to generate content such as text, images, and audio, e.g., ChatGPT, GPTs, ERNIE Bot, etc.

AI Auxiliary Tools: Refers to tools that use artificial intelligence technology to assist in tasks such as language polishing, data analysis, and chart creation.

Article 3: Permitted Scope of Use
Principle: With the consent of the supervising instructor and provided that the content generated by AI tools does not affect the assessment of the student's innovative abilities in the thesis (design), the author may use AI tools within the following scope:

Literature Search and Organization: AI tools may be used for literature retrieval, keyword recommendation, and literature management, but the authenticity and reliability of cited references must be ensured.

Chart Type Recommendation and Auxiliary Chart Creation: AI tools may be used to recommend statistical chart types and assist in chart creation. However, they must not be used to generate or modify original research data or key research charts, nor for theses (designs) where the chart itself is part of the assessment (e.g., artistic design). The originality of the final chart must be ensured.

Non-Innovative Method Assistance with AI Tools: When research methods are not part of the innovative content of the thesis (design), AI tools may be used to assist in programming code writing, debugging, and error detection, as well as in screening and recommending research methods such as statistical methods, experimental methods, and survey methods. The logic, accuracy, scientific validity, and maintainability of the final code or research methods must be ensured, and all code or research methods must be reviewed and tested by the author.

Reference Formatting: AI tools may be used to standardize and automatically sort reference formats, but the generated content must be verified.

Article 4: Prohibited Scope of Use

Research Design and Data Analysis: The use of AI tools is prohibited for research proposal design, innovative method design, algorithm (model) framework construction, thesis (design) structure design, research (design) topic selection, summary of research (design) significance and innovation, research hypothesis formulation, data analysis, result analysis and discussion, and conclusion summarization.

Original Data Collection: The use of AI tools to generate or modify original data in undergraduate theses (designs), such as experimental data, statistical data, or field survey data, is prohibited. Unless AI technology itself is the subject of the research (design), its original data must be generated by AI algorithms.

Result Images and Key Illustration Creation: The use of AI tools to generate or modify original or experimental result images, graphics, and illustrations in undergraduate theses (designs) is prohibited. Unless AI technology itself is part of the research design with reproducible methods, and this is explicitly stated in the methodology section of the thesis.

Thesis Writing: Direct use of AI tools to generate the main text, acknowledgments, or other components of undergraduate theses (designs) is prohibited. AI tools may assist students in learning how to write a thesis (design) but must not replace the author's final independent creation. Language expression ability remains a key focus of thesis (design) assessment. The use of AI tools for language polishing and translation is prohibited.

Defense and Review: During defense or internal thesis review, defense committee members and reviewers are prohibited from using any AI tools to evaluate students' undergraduate theses (designs), including but not limited to using AI tools to summarize the core content of the thesis or generate review comments.

Confidential Content: For undergraduate theses (designs) involving confidential content, the use of any AI tools and the uploading of any data or images to AI platforms are prohibited.

Article 5: Disclosure and Declaration
When using AI tools, the following information must be clearly disclosed in the undergraduate thesis (design) commitment statement:

The name and version of the AI tool used, as well as the time and specific purpose of use.

The content generated or suggestions provided by the AI tool.

The specific sections of the thesis where the AI tool was used, such as the methodology or literature review sections.

Relevant important materials before AI tool processing must be retained for review and inquiry by the supervising instructor or reviewers regarding the use of AI tools.

Article 6: Responsibility and Authorship

The author bears ultimate responsibility for the content generated using AI tools. AI tools may not be listed as authors or co-authors.

When using AI tools, the originality and academic integrity of the final work must be ensured to avoid academic misconduct.

Article 7: Compliance Process and Responsibility

Students must obtain prior consent from their supervising instructor to use AI tools in their undergraduate theses (designs) and comply with relevant university and departmental regulations during use.

Departments should formulate specific regulations for the use of AI tools in theses (designs) within their disciplines under the framework of these regulations. Guidance on the use of AI tools should be provided when necessary to help instructors and students use these technologies correctly.

For students who use AI tools reasonably and compliantly in their undergraduate theses (designs), supervising instructors, defense committee members, and internal reviewers may implement appropriate supplementary assessment measures during the guidance, defense, and internal review stages to verify whether the student has mastered the relevant professional knowledge and abilities.

Students who violate these regulations in using AI tools may face consequences such as inclusion in the thesis (design) assessment grade, disqualification from defense, or cancellation of passing grades, depending on the severity. Cases constituting academic misconduct (impropriety) will be handled according to relevant university regulations, including disciplinary actions, revocation of degree eligibility, or degree revocation.

Article 8: Supplementary Provisions

These regulations are formulated based on the current stage of AI technology development and will be revised periodically as AI technology evolves.

For assessment papers such as exam papers, term papers, and course papers (designs), these regulations may be referenced in the absence of specific targeted regulations.

The use of AI tools in published academic papers (exchange papers) or academic research activities is governed by separate regulations and does not fall under these provisions.

These regulations take effect from the date of issuance and are interpreted by the Academic Affairs Office.",0,0,0,https://www.fudan.design/ai.html,"check_framework is coded as 0:: The university explicitly does not requires AIGC detection for graduation theses.
tool_specified is coded as 0: The university does not explicitly specify a unified, named AIGC detection tool in its regulation. While the text defines types of AI tools and mentions supplementary assessments by instructors, it does not designate a specific commercial detection platform (e.g., CNKI AI Check, VIPS AIGC) for university-wide mandatory use.
linked_to_pass is coded as 0: Linked to pass is coded as 0: AIGC detection results are only advisory and do not affect thesis approval, defense eligibility, or degree conferral, as the original text emphasizes that the detection results are probabilistic analysis based on algorithm models with technical limitations, serving only as an auxiliary reference for academic standardization and not as a basis for determining the originality of the thesis.",university-level,,2025/5/7,2025/6/2,2025/6/18,
6,南京大学,Nanjing University,6,comprehensive universities,VIPS AIGC Detection System,undergraduate,,"III. AIGC Detection

In order to guide students in the proper and standardized use of generative artificial intelligence tools and to ensure the originality and academic integrity of their final academic work, ""Weipu AIGC Detection"" is made available to schools/departments for this year's graduation theses. The decision to use this detection function is at the discretion of each school/department (please follow the notification from your respective school/department regarding whether detection is required). This service provides students with a single free detection opportunity. The detection results are based on probabilistic analysis of algorithmic models, have technical limitations, and are intended **only as an auxiliary reference for academic norm compliance, not as a definitive basis for judging the originality of a thesis**. AIGC detection can be conducted in two modes: student-initiated detection or centralized upload by the school/department. Access is required through the graduation thesis management system at the dedicated university login address for the Weipu detection system: `https://cloud.fanyu.com/organ/lib/nju`.

Student Account: Student ID Number
Initial Password: nju[Student ID Number] (e.g., nju2025123)

After the detection is completed, both the school/department and the student can view the AIGC detection results within the system. Please note, students **must** apply for record-filing, maintain complete process documentation, and undergo supervision during the use of generative AI tools for their graduation thesis. The final thesis version must include the *Nanjing University Undergraduate Graduation Thesis (Design) Artificial Intelligence Use Record Form*. All documents and operating instructions related to AIGC detection can be found in the attached AIGC detection files.",1,1,0,https://jw.nju.edu.cn/99/f7/c26263a760311/page.htm,"Check framework is coded as 1: The university explicitly require AIGC detection for graduation or degree theses, as the original text states that ""Vip AIGC detection"" is open to colleges for independent selection and students shall refer to each college's notice for whether detection is needed, without forming a formal mandatory requirement framework; Tool specified is coded as 1: The university explicitly specifies a specific AIGC detection tool (e.g., CNKI AI Check, Turnitin AI detection), with the original text clearly indicating the use of ""Vip AIGC detection"" and providing the special login address of the Vip detection system for the university; Linked to pass is coded as 0: AIGC detection results are only advisory and do not affect thesis approval, defense eligibility, or degree conferral, as the original text emphasizes that the detection results are probabilistic analysis based on algorithm models with technical limitations, serving only as an auxiliary reference for academic standardization and not as a basis for determining the originality of the thesis.",university-level,2025/5/20,2025/5/7,2025/6/2,2025/6/18,南京大学关于加强2025年本科毕业论文（设计）管理工作的通知.mhtml
7,中国科学技术大学,University of Science and Technology of China,7,science and engineering universities,,,,,0,0,0,,,college-level,,2025/5/7,2025/6/2,2025/6/19,
8,武汉大学,Wuhan University,8,comprehensive universities,,,,,0,0,0,,,university-level,,2025/5/7,2025/6/2,2025/6/19,
9,华中科技大学,Huazhong University of Science and Technology,9,comprehensive universities,CNKI (China National Knowledge Infrastructure) Detection System,undergraduate,"Each school (department) shall, based on the aforementioned principles and in consideration of their specific disciplinary characteristics, establish individualized AIGC detection thresholds for graduation projects (theses). Detection results below the threshold may be regarded as normal technical assistance, while results exceeding the threshold shall initiate manual review or an academic ethics investigation.","V. AIGC (Generative Artificial Intelligence) Detection Requirements

Starting this year, the university will conduct AIGC detection on graduation projects (theses). After uploading the graduation project (thesis) to the ""China National Knowledge Infrastructure"" (CNKI) detection system, AIGC detection can be performed simultaneously with the conventional plagiarism check. The AIGC detection results, along with the plagiarism check results, will be provided to the respective schools (departments).

Principles for the Use of AIGC in Graduation Projects (Theses):
AIGC may only be used as an auxiliary tool to support students' learning and research processes and must not replace students' independent thinking and original contributions. Students should ensure that content generated by AIGC does not compromise the innovative capabilities, practical skills, or academic value demonstrated in their graduation projects (theses). Students bear ultimate responsibility for content generated by AIGC and must ensure it adheres to academic standards and meets the quality requirements of the graduation project (thesis).

Each school (department) should, based on the above principles and in consideration of their specific disciplinary characteristics, establish individualized AIGC detection thresholds for graduation projects (theses). Results below the threshold may be considered normal technical assistance, while results exceeding the threshold should trigger manual review or an academic ethics investigation.

Schools (departments) and individual disciplines are encouraged to publish specific scenarios categorized as ""Prohibited Use,"" ""Limited Use,"" ""Encouraged Use,"" and ""Open Use."" It is recommended that the following core chapters involving academic innovation in graduation projects (theses) prohibit the use of AI-generated content: literature review, research design, innovative methodology design, original data collection, theoretical derivation, conclusions, etc. AI assistance is suggested for the following aspects of graduation projects (theses): literature search and organization, recommendation and assistance in creating secondary chart types, AI tool assistance for non-innovative methods, and reference formatting.",1,1,1,https://energy.hust.edu.cn/info/1099/6770.htm,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation or degree theses, as the original text states that the university will conduct AIGC detection on graduation projects (theses) starting this year, with clear requirements for detection implementation and usage principles, forming a formal mandatory framework; Tool specified is coded as 1: The university explicitly specifies a specific AIGC detection tool (e.g., CNKI AI Check, Turnitin AI detection), with the original text indicating that AIGC detection is performed within the ""CNKI (China National Knowledge Infrastructure)"" detection system and is synchronized with regular paper duplicate checking; Linked to pass is coded as 1: AIGC detection results directly affect thesis approval, defense eligibility, or degree conferral, as the original text requires colleges (departments) to formulate personalized AIGC detection thresholds, and results exceeding the threshold will trigger manual review or academic ethics investigation, which is directly linked to the compliance and approval of the graduation project (thesis).",college-level,2025/4/14,2025/5/8,2025/6/2,2025/6/19,华中科技大学关于做好2025届本科毕业设计(论文)检测工作的通知.mhtml
10,西安交通大学,Xi'an Jiaotong University,10,comprehensive universities,,,,,,,,,,,,2025/5/8,2025/6/3,2025/6/19,
