id,univ_name,country_region,rank_usnews_2025,source_url,release_date,retrieval_rd1(2025.7.14-7.30),retrieval_rd2(2025.8.1-8.20),retrieval_rd3(8.22-9.21),D1_tech_limit(0/1),D2_proactive(0/1),D3_responsibility(0/1),D4_ai_as_aid(0/1),maturity_score,snapshot_filename.y
1,Harvard University,USA,1,https://www.huit.harvard.edu/ai/guidelines,None,2025/7/14,2025/8/1,2025/8/22,1,1,1,1,4,01_Generative AI Guidelines _ Harvard University Information Technology.html
2,Massachusetts Institute of Technology (MIT),USA,2,https://ist.mit.edu/ai-guidance,2025/2/19,2025/7/14,2025/8/1,2025/8/22,1,1,1,1,4,02_Guidance for use of Generative AI tools _ Information Systems & Technology.html
3,Stanford University,USA,3,https://communitystandards.stanford.edu/generative-ai-policy-guidance,2023/2/16,2025/7/14,2025/8/1,2025/8/22,1,1,1,1,4,03_Generative AI Policy Guidance _ Office of Community Standards.html
4,University of Oxford,UK,4,https://www.ox.ac.uk/research/support-researchers/research-practice/policy-generative-ai-research,None,2025/7/14,2025/8/1,2025/8/23,1,1,1,1,4,04_Policy for using Generative AI in Research_ guidelines for researchers and professional staff _ University of Oxford.html
5,University of Cambridge,UK,5,https://www.hps.cam.ac.uk/students/academic-misconduct,None,2025/7/14,2025/8/2,2025/8/23,1,1,1,1,4,05_Academic misconduct_ plagiarism and use of AI _ Department of History and Philosophy of Science.html
6,University of California Berkeley,USA,6,https://oercs.berkeley.edu/appropriate-use-generative-ai-tools,2025/7/25,2025/7/14,2025/8/2,2025/8/23,1,1,1,1,4,"06_Appropriate Use of Generative AI Tools _ Office of Ethics, Risk, and Compliance Services.html"
7,University College London,UK,7,https://www.ucl.ac.uk/students/exams-and-assessments/assessment-success-guide/engaging-generative-ai-your-education-and-assessment,None,2025/7/15,2025/8/2,2025/8/24,1,1,1,1,4,07_Engaging with Generative AI in your education and assessment _ Students - UCL – University College London.html
8,University of Washington Seattle,USA,8,https://guides.lib.uw.edu/c.php?g=345664&p=10592021&_gl=1*1d4lvzl*_ga*MTI0OTk1NDY3OC4xNzY2MDQ2NDA2*_ga_3T65WK0BM8*czE3NjYwNDY0MDUkbzEkZzEkdDE3NjYwNDY2ODAkajI5JGwwJGgw*_gcl_au*MTE5MTQ0MjQxNi4xNzY2MDQ2NDA0*_ga_JLHM9WH4JV*czE3NjYwNDY0MDYkbzEkZzEkdDE3NjYwNDY2ODAkajI5JGwwJGgw,2025/9/21,2025/7/15,2025/8/2,2025/8/24,1,1,1,1,4,08_Using AI Ethically to Enhance Learning - Academic Integrity and Plagiarism Prevention Resources - Library Guides at Univ.html
9,Yale University,USA,9,https://provost.yale.edu/news/guidelines-use-generative-ai-tools,2023/9/20,2025/7/15,2025/8/3,2025/8/24,1,1,1,1,4,09_Guidelines for the Use of Generative AI Tools _ Office of the Provost.html
10,Columbia University,USA,10,https://provost.columbia.edu/content/office-senior-vice-provost/ai-policy,None,2025/7/15,2025/8/3,2025/8/25,1,1,1,1,4,10_Generative AI Policy _ Office of the Provost.html
11,Imperial College London,UK,11,https://www.imperial.ac.uk/admin-services/library/learning-support/generative-ai-guidance/,None,2025/7/15,2025/8/3,2025/8/25,1,1,1,1,4,11_Generative AI guidance _ Administration and support services _ Imperial College London.html
12,University of California Los Angeles,USA,13,https://dts.ucla.edu/initiatives/ai/guiding-principles-responsible-use,None,2025/7/16,2025/8/3,2025/8/25,1,1,1,1,4,13_Guiding Principles for Responsible Use _ Digital & Technology Solutions.html
13,Johns Hopkins University,USA,14,https://engineering.jhu.edu/ctld/chatgpt/ai-tools/,None,2025/7/16,2025/8/4,2025/8/26,1,1,1,1,4,14_Generative AI Tools – Johns Hopkins Engineering CTLD.html
14,University of Pennsylvania,USA,15,https://isc.upenn.edu/security/AI-guidance,None,2025/7/16,2025/8/4,2025/8/26,1,1,1,1,4,15_Statement on Guidance for the University of Pennsylvania Community on Use of Generative Artificial Intelligence _ Inform.html
15,Cornell University,USA,16,https://teaching.cornell.edu/generative-artificial-intelligence/ai-academic-integrity,None,2025/7/16,2025/8/4,2025/8/26,1,1,1,1,4,16_AI & Academic Integrity _ Center for Teaching Innovation.html
16,Princeton University,USA,17,https://oit.princeton.edu/policies/generative-ai-tools-use-policy,2025/5/1,2025/7/17,2025/8/4,2025/8/27,1,1,1,1,4,17_Generative AI Tools Use Policy _ Office of Information Technology.html
17,University of California San Francisco,USA,18,https://ai.ucsf.edu/considerations-using-generative-ai,None,2025/7/17,2025/8/5,2025/8/27,1,1,1,1,4,18_Considerations for using Generative AI _ AI@UCSF.html
18,University of Toronto,Canada,19,https://www.sgs.utoronto.ca/about/guidance-on-the-use-of-generative-artificial-intelligence/,2025/9/5,2025/7/17,2025/8/5,2025/8/27,1,1,1,1,4,19_Guidance on the Appropriate Use of Generative Artificial Intelligence for Graduate Academic Milestones – School of Gradu.html
19,National University of Singapore,Singapore,20,https://libguides.nus.edu.sg/new2nus/ai_guidelines_infographics,None,2025/7/17,2025/8/5,2025/8/28,1,1,1,1,4,20_AI Guidelines - Library Essentials - LibGuides at National University of Singapore.html
20,University of California San Diego,USA,21,https://univcomms.ucsd.edu/resources/ai-guidance/index.html,None,2025/7/17,2025/8/5,2025/8/28,1,1,1,1,4,21_AI Guidelines for Campus Communicators.html
21,University of Michigan,USA,22,https://rackham.umich.edu/admissions/applying/guidance-and-policies-related-to-use-of-genai-for-rackham-applicants,None,2025/7/18,2025/8/5,2025/8/28,1,1,1,1,4,22_Guidance and Policies Related to Use of GenAI for Rackham Applicants _ Rackham Graduate School_ University of Michigan.html
22,California Institute of Technology,USA,23,https://www.caltech.edu/campus-life-events/campus-announcements/guidance-on-the-use-of-generative-ai-and-large-language-model-tools,2023/10/22,2025/7/18,2025/8/5,2025/8/29,1,1,1,1,4,23_Guidance on the Use of Generative AI and Large Language Model Tools - www.caltech.edu.html
23,Northwestern University,USA,24,https://www.it.northwestern.edu/about/policies/guidance-on-the-use-of-generative-ai.html,None,2025/7/18,2025/8/5,2025/8/29,1,1,1,1,4,24_Northwestern Guidance on the Use of Generative AI_ Information Technology - Northwestern University.html
24,University of Chicago,USA,26,https://genai.uchicago.edu/about/generative-ai-guidance,None,2025/7/18,2025/8/6,2025/8/29,1,1,1,1,4,26_Generative AI Guidance _ University of Chicago.html
25,Duke University,USA,27,https://ctl.duke.edu/ai-and-teaching-at-duke-2/artificial-intelligence-policies-in-syllabi-guidelines-and-considerations/,2025/8/25,2025/7/18,2025/8/6,2025/8/30,1,1,1,1,4,27_Artificial Intelligence Policies_ Guidelines and Considerations - Duke Center for Teaching and Learning.html
26,Nanyang Technological University,Singapore,28,https://www.ntu.edu.sg/research/resources/use-of-gai-in-research,2023/7/4,2025/7/18,2025/8/6,2025/8/30,1,1,1,1,4,28_NTU Policy on the Use of Generative Artificial Intelligence in Research _ Research _ NTU Singapore.html
27,University of Sydney,Australia,29,https://www.sydney.edu.au/students/academic-integrity/artificial-intelligence.html,2025/8/21,2025/7/19,2025/8/6,2025/8/30,1,1,1,1,4,29_Artificial intelligence - The University of Sydney.html
