id,univ_name,country_region,rank_usnews_2025,source_url,policy_content,release_date,retrieval_rd1(2025.7.14-7.30),retrieval_rd1(2025.8.1-8.20),retrieval_rd1(8.22-9.21),D1_tech_limit(0/1),D2_proactive(0/1),D3_responsibility(0/1),D4_ai_as_aid(0/1),maturity_score,snapshot_filename
1,Harvard University,USA,1,https://www.huit.harvard.edu/ai/guidelines,"Overview
Generative AI is a type of artificial intelligence that can learn from and mimic large amounts of data to create content such as text, images, music, videos, code, and more, based on inputs or prompts. The University supports responsible experimentation with generative AI tools, but there are important considerations to keep in mind when using these tools, including information security and data privacy, compliance, copyright, and academic integrity. These guidelines are updated periodically. 
 
Protect confidential data
You should not enter data classified as confidential (Level 2 and above, including non-public research data, finance, HR, student records, medical information, etc.) into publicly-available generative AI tools, in accordance with the University’s Information Security Policy. Information shared with generative AI tools using default settings is not private and could expose proprietary or sensitive information to unauthorized parties.
Level 2 and above confidential data must only be entered into generative AI tools that have been assessed and approved for such use by Harvard’s Information Security and Data Privacy office. See below for more information about approved tools.
 
Review content before publishing or sharing
AI-generated content can be inaccurate, misleading, or entirely fabricated (sometimes called “hallucinations”) or may contain copyrighted material. You are responsible for any content that you publish or share that includes AI-generated material.
 
Adhere to local academic and administrative policies
Review your School or Unit’s local policies around the use of generative AI. Many Schools have developed or updated policies around the use of generative AI in the classroom. You can find links to local resources on the University’s generative AI website.
Faculty should be clear with students they’re teaching and advising about their policies on permitted uses, if any, of generative AI in classes and on academic work. Students are also encouraged to ask their instructors for clarification about these policies as needed.
 
Be alert for phishing
Generative AI has made it easier for malicious actors to create sophisticated phishing emails and “deepfakes” (i.e., video or audio intended to convincingly mimic a person’s voice or physical appearance without their consent) at a far greater scale. Continue to follow security best practices and report suspicious messages to phishing@harvard.edu.
 
Use approved tools for Harvard work
HUIT and School IT providers have procured a range of generative AI tools with important contractual protections for use in Harvard work. These include security and privacy protections that ensure the tools are appropriate for use with certain types of confidential data, and assurances that the data entered will not be used to train vendor models. 
* A list of available tools provided by HUIT can be found here. More tools may be available from your School IT provider.
* AI meeting assistants should not be used in Harvard meetings, with the exception of approved tools with contractual protections. Consult the AI Assistant Guidelines for more information and how to manage unwanted AI assistants in meetings.
* If you are considering procuring a generative AI tool not currently offered or have questions, please contact HUIT. All vendor generative AI tools must be assessed for risk by Harvard's Information Security and Data Privacy office prior to use in Harvard work.
Additional guidelines
* AI Assistant Guidelines: Guidance on the use of automated meeting assistants (aka “AI note takers” or “bots”) in online meetings.
* EU AI Act Prohibited Use Cases: Regulation on the use of AI technologies that may be developed or used in the European Union, or whose output may be used in the European Union.",None,7/14/25,8/22/25,8/22/25,1,1,1,1,4,01_Generative AI Guidelines _ Harvard University Information Technology.mhtml
2,Massachusetts Institute of Technology (MIT),USA,2,https://ist.mit.edu/ai-guidance,"Information Systems and Technology (IS&T) is providing this initial guidance to encourage community members to consider factors including information security, data privacy, regulatory and policy compliance, compliance with confidentiality restrictions concerning third party information and data, intellectual property (e.g., copyright and patent), and academic integrity when choosing to use or purchase software that makes use of generative artificial intelligence (AI).
For MIT faculty and instructors: MIT's Chair of the Faculty has recommended the use of these resources on generative AI and teaching provided by the Teaching and Learning Laboratory. This guidance does not address all issues for consideration when using generative AI tools as part of MIT research, nor does this guidance focus on when MIT researchers are creating generative AI tools or publicly releasing datasets/information that could become ingestible data for use by MIT researchers or third parties for training generative AI tools. Please contact mitogc@mit.edu for further guidance on research-related applications or development of AI tools.
Consult with IS&T before purchasing or using generative AI tools
IS&T is working closely with the MIT IT Governance Committee, Information Technology Policy Committee and the Office of General Counsel to determine appropriate terms for vendor agreements relating to generative AI.
*   IS&T recommends MIT community members first consider using tools and services which have already been licensed by IS&T for use by the MIT community.
*   Before entering into any license agreements for a new AI tool or service, we recommend reaching out to ai-guidance@mit.edu for a consultation on your planned use of AI and an assessment of the tool or service before it is used.
*   If an MIT DLCI is already using a generative AI tool or service, ensure that the tool complies with all Institute policies and Information Protection guidelines. Contact ai-guidance@mit.edu if you have a need for a consultation or assessment.
*   Do not use generative AI for purposes that may require in-depth risk assessments without contacting ai-guidance@mit.edu. Examples include: recruitment and hiring of employees, evaluating student academic performance, making investment decisions, and complaint and dispute resolution.
Protect MIT information and confidential data
As with any use of information technology at MIT, ensure that your use of generative AI tools and services complies with all applicable federal and state laws and orders (including, without limitation, FERPA, HIPAA, Massachusetts Data Protection Standards, export control laws, and Executive Order on the Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence), Institute policies (including 10.1 Academic and Research Misconduct, 11.0 Privacy and Disclosure of Personal Information, and 13.0 Information Policies), follows all guidelines outlined on Information Protection, the Institute's Written Information Security Program (WISP), and complies with any additional policies established by your department, lab, center, or institute (DLCI).
No Generative AI tools, including those licensed by IS&T, are approved for use with High Risk MIT information. Additionally, we do not recommend using publicly available GenAI tools not subject to an Institute licensing agreement for your MIT research and educational activities, including with Low Risk or Medium Risk information. Examples of information inappropriate for generative AI tools include non-public research results and data, unpublished research papers, confidential information received from third parties (such as research sponsors and collaborators), unpublished invention disclosures and patent applications, Institute financial and human resources information, personally identifiable information (including, for example, student records, medical records), any information subject to legal or regulatory requirements necessitating its proper safeguarding and handling, and any other information not intended to be freely available to the general public, or to the MIT community without access controls. 
Ensure accuracy before publishing AI-generated information
Be aware that information generated by AI may be inaccurate, incomplete, misleading, biased, fabricated, or may contain material subject to a third party’s intellectual property ownership. You are responsible for the accuracy of any information you publish, including AI-generated content.
Be transparent about your use of AI tools
You should disclose the use of generative AI tools for all academic, educational, and research-related uses.  Do not publish research results that rely on content generated through the use of a generative AI tool without disclosing the nature of the use of such generative AI tool in producing the content.
Resources
IS&T's list of generative AI tools available at MIT
MIT policies in addition to those already referenced above
*   9.2 Personal Conduct and Responsibilities Towards Students and Employees
*   10.0 Academic and Research Misconduct and Dishonesty
*   Academic Integrity at MIT
*   Policies Regarding Student Behavior
*   Responsible and Ethical Conduct at MIT
MIT’s Written Information Security Program
*   Information Protection at MIT
Intellectual Property
*   Patenting and Commercializing Your Invention
Publishing
*   Scholarly Communications: Publishing and Research
*   Citing AI tools
Sponsored Research & Proprietary Information of Third Parties
*   Industry Sponsored Research Agreements
 
Page updated 2/19/2025",2/19/25,7/14/25,8/1/25,8/22/25,1,1,1,1,4,02_Guidance for use of Generative AI tools _ Information Systems & Technology.mhtml
3,Stanford University,USA,3,https://communitystandards.stanford.edu/generative-ai-policy-guidance,"Generative AI Policy Guidance
Main content start
Guidance adopted on February 16, 2023

Honor Code Implications of Generative AI Tools
The Board on Conduct Affairs (BCA) has been asked to address the Honor Code implications of generative AI tools such as ChatGPT, Bard, DALL-E, and Stable Diffusion. These are novel tools, and both students and instructors have been experimenting with their use in academic settings.  
While these tools have applications that foster student learning and understanding, these tools can also be used in ways that bypass key learning objectives.
To give sufficient space for instructors to explore uses of generative AI tools in their courses, and to set clear guidelines to students about what uses are and are not consistent with the Stanford Honor Code, the BCA has set forth the following policy guidance regarding generative AI in the context of coursework:
Absent a clear statement from a course instructor, use of or consultation with generative AI shall be treated analogously to assistance from another person. In particular, using generative AI tools to substantially complete an assignment or exam (e.g. by entering exam or assignment questions) is not permitted. Students should acknowledge the use of generative AI (other than incidental use) and default to disclosing such assistance when in doubt.
Individual course instructors are free to set their own policies regulating the use of generative AI tools in their courses, including allowing or disallowing some or all uses of such tools. Course instructors should set such policies in their course syllabi and clearly communicate such policies to students. Students who are unsure of policies regarding generative AI tools are encouraged to ask their instructors for clarification.
The BCA will continue to monitor developments in these tools and their use in academic settings and may update this guidance. Members of the community are encouraged to contact the BCA to provide input, suggestions, and comments on this policy.
NOTE: As part of the BCA’s guidance on clear communication of a course’s generative AI policy, OCS recommends course instructors provide clear advance notice that they may use detection software to review work submitted for use of generative AI. Other helpful information for faculty and course assistants can be found HERE.

If you are in doubt about whether a generative AI source (or any source) is permitted aid in the context of a particular assignment, talk with the instructor.",2/16/23,7/14/25,8/1/25,8/22/25,1,1,1,1,4,03_Generative AI Policy Guidance _ Office of Community Standards.mhtml
4,University of Oxford,UK,4,https://www.ox.ac.uk/research/support-researchers/research-practice/policy-generative-ai-research,"Policy for using Generative AI in Research: guidelines for researchers and professional staff
Why a policy?
Generative Artificial Intelligence (GenAI) is a fast-evolving technology that offers tremendous opportunities and, as with all new technologies, comes with risks. The University of Oxford wishes to enable and support the safe and productive use of GenAI by the Oxford research community.
The aims of this policy are to ensure the responsible use of GenAI in research and to provide clear guidelines for its integration into the research process. The policy is supported by, and should be read alongside, a list of FAQs for the policy on generative AI in research that provides good practice advice covering different parts of the research process.
The University promotes adherence to relevant funder and publisher policies and supports the Concordat to Support Research Integrity. In preparing this policy, we have drawn on existing funder policies, and guidelines from funders, publishers, and scholars (list of sources), and where funder policies exist, we have referenced these.
The policy and FAQs were shaped, through roundtable meetings, by researchers who use GenAI in research and domain experts, working with the academic divisions and the AI Competency Centre; the Research Practice Sub Committee (RPSC) reviewed the policy and FAQs.
Users are advised to interpret the use of GenAI in the context of research practice standards on transparency, rigour and respect; data protection, intellectual property and export control legislation; and information security and compliance guidance. Use of GenAI is also dependent on the fitness for purpose of the relevant tool in terms of functionality and performance. Users are advised to choose the tool that is most relevant for their discipline and application, and to be aware that both technology and practice will evolve over time.
Use of GenAI in research is within the scope of research conduct, and actions that are found to be in potential breach will be reviewed in line with the University's Code of practice and procedure on academic integrity in research. 
The University has guidelines in place on using GenAI in communication, and a policy on the use of AI in summative assessment, setting out the expectations for those setting summative assessment and for students undertaking summative assessment.
This policy is archived in ORA (Oxford University Research Archive) at https://dx.doi.org/10.5287/ora-e9a8pkoeo, and the text is free for others to use and adapt. 
Scope of the policy
The policy encompasses the substantive use of GenAI in the research lifecycle, particularly, in applying for funding, conducting research, disseminating and sharing research outputs, and review and assessment, but also its use in research management to enhance service provision and support strategic insight. Researching GenAI, and training (configuring) and fine-tuning GenAI models, are out of scope of this policy.
Substantive use is defined as using GenAI in research to:
*   interpret and analyse data (including audio and image files) and texts,
*   undertake a literature review or translation,
*   identify research gaps,
*   formulate research aims,
*   develop hypotheses,
*   assist with generating ideas or to develop one’s own thinking,
*   generate code and synthetic data,
*   undertake transcription of interviews, meetings etc. to save time and effort rather than overcoming barriers (see exclusions below)
*   produce documents using other people’s work or from transcripts or recordings.
Substantive use excludes using GenAI for tasks such as assisting non-native speakers with translation, transforming transcribed spoken language to written language by users who face barriers to writing, formatting documents, or improving one’s own standard of English or a foreign language.
See glossary for definitions of other terms used in this policy.
This policy applies to all researchers, i.e. members of the University, including staff and students, who are conducting research, and those who are not members of the University but who are conducting research on University premises (including in overseas research units), or using University facilities or funding for their research, such as visiting staff, fellows, students and contractors. It also applies to Professional staff, University staff who in some capacity support research, e.g. research facilitators, technicians, IT support staff, library staff, and administrative support staff.
The policy also applies to all internal research funding schemes managed by Research Services, Divisional Offices, and departments.
Expectations from users of generative AI in Research
All researchers and professional staff supporting researchers are expected to meet the expectations below, and to comply with relevant funder and publisher policies, and professional guidelines. In addition, researchers are expected to follow the guidance in the GenAI FAQs document that sets out good practice in the research process.
Professional staff supporting researchers might be interested to use GenAI in order to simplify and improve the operational efficiency of processes, and the speed and quality of analysis; to accelerate the production of documents for different audiences, including summaries; to provide more accurate and targeted guidance to funding applicants.
Professional staff should consult the GenAI FAQs document and when supporting researchers, ensure they are aware of any restrictions to the use of GenAI in research.
All users should:
1   Remain ultimately responsible for GenAI content used in research
Users of GenAI tools are accountable for the integrity of the content generated by, or with the support, of these tools, maintaining a critical approach to using the output produced by GenAI and an awareness of the tools’ limitations, such as hallucinations, or social biases that may be embedded in training data, which could perpetuate misrepresentation of social categories, protected groups, or historical inaccuracies.
2   Understand the implications of uploading material subject to Intellectual Property Rights
Users might be considering whether to upload published or unpublished work, i.e. work protected by copyright and related rights, to a GenAI tool for analysis, or a submitted manuscript or grant application, when acting as a reviewer. Uploading published or unpublished work may constitute a breach of copyright, if it cannot be covered by a copyright exception, e.g. non-commercial research and private study, or criticism and review. Users are advised to ensure the tool being used will not use the uploaded content for training purposes or finetuning the model, and are recommended to use ChatGPT Edu, which is governed by an agreement between the University and OpenAI; experienced users may prefer a locally deployed model. Further guidance is available in the University’s guide to copyright or through emailing copyright@bodleian.ox.ac.uk.
3   Follow information security advice on using generative AI safely
While many popular generative AI tools are cloud-hosted services, locally deployed models may also be available for use. Cloud-hosted services present specific confidentiality and disclosure risks since data is accessible to the service provider and potentially other third parties. Information that is commercially sensitive and where the Intellectual Property is unprotected, or is subject to a confidentiality agreement or export control, or personal data, should only be uploaded to a generative AI tool when confidentiality can be guaranteed. Users should consult Information Security and Information Compliance advice, use a locally deployed model or ChatGPT Edu, governed by an agreement between the University and OpenAI, or contact the AI Competency Centre for guidance. Uploading personal data is considered processing, needs to comply with data protection legislation and, when done as part of undertaking research, requires ethics approval. 
4   Declare use of GenAI in research and communicate openly
When employing a discrete GenAI tool, rather than where GenAI is a functionality in existing software, users should declare the substantive use of GenAI tools in their work. Declarations could include the name, version, date, and how it was used and affected the research process. If relevant, users must make the input (prompts) and output available, in line with open research principles.
5   Aim for reproducibility/transparency and robustness in results and conclusions
Users should consider the probabilistic nature of GenAI tools, which includes the tendency to produce a different output from the same input. Cloud-hosted third-party models inherently present a reproducibility and transparency issue, as they are continuously updated with new versions, cannot be archived and do not make their training data available. Locally run models and fully open models offer a better alternative, where feasible and appropriate, to improve reproducibility and transparency. Users should disclose or discuss in methods or acknowledgements, or an additional section determined by the guidelines or policies of the funder or publisher, the limitations of, and interactions with, the GenAI tools used and mitigation measures, e.g. validating outputs, iterative prompting by systematically refining and adjusting the prompts to improve the quality of outputs.
6   Learn how to use GenAI tools responsibly to maximise their benefits, including by undertaking training
GenAI tools are evolving quickly, and new ways to use them are regularly discovered. Users should make use of the training, guidance and advice offered by the University and other reputable sources to stay up to date on good practice. Users might be interested in the University’s Generative AI Special Interest Group (SIG) on Teams run by the AI Competency Centre as a source for finding out about emerging practice and new releases, and to ask specific questions.
7   Be mindful of the environmental impact of using GenAI tools
Building GenAI models is extremely energy-intensive, while the energy consumed through the use of the resultant tools depends on the task’s complexity and whether it involves image generation or reasoning. Where feasible and appropriate, users are encouraged to favour smaller, locally run GenAI models for routine or low-complexity tasks; this can reduce the environmental and data privacy impacts of remote, cloud-based AI use. Users should consider whether a local AI model, a non-GenAI tool or intelligent automation, is fit for purpose before opting for large, cloud-hosted models.
Support provided by the University
The University will support users in meeting the expectations set out above, by providing:
*   Through the AI Competency Centre and Generative AI at Oxford, up-to-date and informed support, advice and information to users on all aspects of using GenAI in research, with more in-depth support for tools selected for their suitability in research, education and administration
*   Through Research Data Oxford, advice and guidance on use of research data with GenAI
*   Through the Advanced Research Computing service and the Biomedical Research Computing facility, advice on running locally deployed models
*   Through the Compliance team in the Assurance Directorate, guidance and support to ensure compliance with data protection legislation
*   Through the Information Security (InfoSec) team in the Assurance Directorate, guidance and support to ensure the use of GenAI does not pose a cyber-security threat
*   Free ChatGPT Edu access for all staff and students, offering the ability to use GenAI for research and to collaborate with other users across the University, while protecting data used and generated
*   Training to enable all staff and students to use the capability of GenAI tools in research and to promote best practice; training provided by the AI Competency Centre and the Bodleian Libraries
Sources of related guidance and policy are listed at the end of this policy.
Policy implementation and reviewing mechanisms
This policy and supporting FAQs are published on the Research Practice pages, with links to the policy and FAQs on the Research Support webpages and the AI at Oxford website.
A policy advisory group will, on a termly basis, undertake a review of the policy, as the use of GenAI will change over time with certain uses becoming universal and new uses emerging; it will also review the FAQs, including commissioning the development of new FAQs and the removal of redundant FAQs. 
Recommendations by the policy advisory group that do not materially alter the policy, e.g. additional clarification to scope and expectations, new levels of support and minor changes to existing levels of support, updates to glossary, list of existing University policies and guidance, and sources may be approved by the Co-Chairs for RPSC and submitted for noting to RPSC. Substantial changes will be reviewed by RPSC, which may refer the matter to Research and Innovation Committee for approval, or approve the change itself, in accordance with RPSC’s Terms of Reference.
Policy advisory group membership: Dominik Lukes, Lead Business Technologist for AI Competency Centre, Oxford e-Research Centre; Chris Morrison, Head of Copyright and Licensing, Bodleian Libraries; Rowan Wilson, Head of Research Computing and Support Services, IT Services; Dr Sara Ratner, PI of the AI in Education at Oxford University (AIEOU) Interdisciplinary Hub and post-doctoral researcher on the Learning in Families through Technology (LiFT) project, Education; Professor Eleanor Stride, Professor of Biomaterials, Engineering Science and the Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences; Dr Hazem Zohny, Senior Research Fellow in Practical Ethics, Neuroscience, and Society, the Oxford Uehiro Centre for Practical Ethics.
Relationship with existing University policies and guidance
*   Academic Integrity in Research 
*   Research Ethics Policy 
*   Open Access Publications Policy 
*   Research Data Management Policy
*   Intellectual Property Policy
*   Environmental Sustainability Strategy 
*   Data Protection Policy 
*   Information Security Policy 
*   Publication and Authorship Guidance
*   Export Control Guidance 
*   Open Research Statement
 
List of sources
Funder statement and policies
*   Funders joint statement: use of generative AI tools in funding applications and assessment 
*   UK Research and Innovation (UKRI) policy on use of generative artificial intelligence in application preparation and assessment 
*   Wellcome policy on use of generative artificial intelligence when applying for Wellcome grant funding
*   Cancer Research UK (CRUK) policy on the use of generative artificial intelligence tools in Cancer Research UK funding applications 
Guidelines and guidance
*   International Association of Scientific, Technical & Medical Publishers (STM) Ethical and practical guidelines for the use of generative AI in scholarly communications
*   Guidelines for ethical use and acknowledgement of large language models in writing  
*   CRUK guidance for researchers on the use of generative AI 
*   European Commission’s Living guidelines on the responsible use of generative AI in research 

Academic integrity in research
The University of Oxford's Code of practice and procedure on academic integrity in research



Hide All
Code of Practice

1. The University expects all members of the University including staff and students and those who are not members of the University but who are conducting research[1] on University premises or using University facilities or funding for their research, to observe the highest standards of ethics and integrity in the conduct of their research[2]. In pursuance of such high standards they must:
    * be honest in proposing, conducting and reporting research. They should strive to ensure the accuracy of research data and results and acknowledge the contributions of others
    * acquaint themselves with guidance as to best research practice and standards of integrity; for example, the Code of Practice for Research published by the UK Research Integrity Office or the Concordat to Support Research Integrity
    * comply with ethical and legal obligations as required by statutory and regulatory authorities, including seeking ethical review and approval for research as appropriate. They should ensure that any research undertaken complies with any relevant University policy and procedures and any other agreements and/or terms and conditions relating to the project, and also allows for proper governance and transparency
    * seek to ensure the safety, dignity, wellbeing and rights of those associated with the research
    * effectively and transparently manage any conflicts of interest, whether actual or potential, reporting these to the appropriate authority as necessary
    * ensure that they have the necessary skills and training for their field of research
    * recognise their accountability to the University and their peers for the conduct of their research
    * having due regard to subject disciplinary norms, acknowledge that authorship of a research output should be attributed only to a researcher who has made a significant intellectual, scholarly or practical contribution to that output and is willing to take responsibility for the contribution
    * follow the requirements and guidance of any professional bodies in their field of research. Researchers who are members of a regulated profession must follow the requirements and guidance of the body regulating their profession
2. Failure to comply with this Code of Practice and Procedure may give rise to an allegation of Misconduct in Research (as further defined in 3). Misconduct in Research may be a ground for disciplinary action[3], and if serious, for dismissal or expulsion.

[1] Research is defined in the Concordat to support research integrity as ‘a process of investigation leading to new insights, effectively shared… It includes work of direct relevance to the needs of commerce, industry, and to the public and voluntary sectors; scholarship; the invention and generation of ideas, images, performances, artefacts including design, where these lead to new or substantially improved insights; and the use of existing knowledge in experimental development to produce new or substantially improved materials, devices, products and processes, including design and construction’.
[2] This includes members of the University, visiting staff and contractors, and those whose research is funded by the University, who are conducting work overseas.
[3] Disciplinary action will only be taken in accordance with the University’s standard procedures. Please see Section 28 below.
Back to top
Definition of misconduct in research

3. Misconduct in Research for the purpose of this Code of Practice and Procedure means, but is not limited to, the doing, planning or attempting of any of the following while proposing, carrying out or reporting the results of research:
* falsification or fabrication of data, including the intentionally misleading or deliberately false reporting of research information
* misrepresentation of data, including the invention of data and the omission from analysis and publication of inconvenient data
* failure to follow good practice for the proper preservation, management and sharing of primary data, artefacts and material
* unacknowledged appropriation of the work of others, including plagiarism, the abuse of confidentiality with respect to unpublished materials, or misappropriation of results, physical materials or other resources
* misrepresentation of involvement in a research project; for example, the failure to include legitimate author(s) on outputs, or granting authorship where none is warranted, or of credentials, including qualifications, experience, and publication history
* failure to declare conflicts of interest
* failure to follow accepted procedures, legal, professional or ethical requirements, or to exercise due care in carrying out responsibilities for avoiding unreasonable harm or risk to humans, other vertebrates, cephalopods or the environment
* failure to follow existing guidance on good practice in research, including proper handling of privileged, private  or confidential information collected on individuals during the research
* improper conduct in peer review of research proposals, results or manuscripts submitted for publication
* improper dealing with allegations of misconduct: failing to address possible infringements, or to adhere to agreed procedures in the investigation of alleged research misconduct accepted as a condition of funding
Misconduct in Research can include acts of omission as well as acts of commission. It excludes genuine errors that are not due to negligence, differences in interpretation or judgement in evaluating research methods or results, or misconduct unrelated to research processes. It does not include poor research.
Misconduct in Research for the purpose of this Code of Practice and Procedure is not intended to capture concerns about students’ examined work[4], which falls within the jurisdiction of the Proctors under the Proctors’ Disciplinary Regulations for Candidates in University Examinations and Statute XI.

[4] Examined Work includes the submission and assessment of a thesis, dissertation, essay, Transfer of Status materials, Confirmation of Status materials, or other coursework which is not undertaken in formal examination conditions but is a requirement for, counts towards or constitutes the work for a degree or other academic award.
Back to top
Responsibility

4. The Employment Rights Act 1996 (as amended) gives legal protection to workers against being dismissed or suffering any other detriment as a consequence of raising, with appropriate personnel, concerns which they reasonably believe indicate unlawful or various other practices within the organisation. In accordance with the Act, the position in the University of a worker expressing concerns about the conduct of research which they reasonably believe to be true, in good faith and in accordance with this procedure, should not be jeopardised as a result of raising those concerns.
All members of the University, and individuals permitted to work on University premises or use University facilities, have a responsibility to report any well-founded allegations of Misconduct in Research, whether this has been witnessed, or is suspected. Suspicions reported in confidence and in good faith will not lead to disciplinary proceedings against the person making the allegation, in accordance with the Employment Rights Act 1996 and the University’s public interest disclosure code of practice. In the event, however, of a frivolous, vexatious and/or malicious allegation the Registrar will consider recommending that action be taken against the person making a report. Prior to making any formal allegation, sources of advice and support for University members include:
* Fellow researchers and colleagues
* Supervisors
* Mentors
* Senior Tutors
* University Proctors
* Directors of Graduate Studies
* Heads of Department; Faculty; or Division
* Research Ethics Committees
* Research Services
* Oxford University Students Union (Oxford SU)
The University is committed to ensuring that all allegations of Misconduct in Research are assessed and, where the Registrar determines that further investigation is required (in accordance with the Procedure below), investigated thoroughly, fairly, in a timely manner, and with care and sensitivity.
Back to top
Confidentiality

5. So far as possible, and taking into account the University’s legal and regulatory obligations, all allegations will be investigated in confidence. All those who are involved in the investigation of an allegation, including witnesses, representatives and persons providing information, evidence and/or advice, have a duty to maintain confidentiality. However, for an allegation to be investigated fully, it will normally be necessary to disclose the identity of the person reporting an allegation (the “Reporter”) as well as other relevant information to the person(s) who is/are the subject of the complaint (the “Subject”) and others who will be involved in any subsequent investigation. It may generally be necessary to make certain disclosures to relevant members of University staff, such as the relevant Head of Division; Head of Department and the Director of Research Services, although any such disclosures will be limited to those with a strict need to know. The Reporter will be advised before any such disclosure is made. 
6. All decisions about disclosure, including the level of detail to be provided and at what stage, will be taken by the Registrar, having due regard to the rights and interests of the Reporter and the Subject and the obligations placed on the University by any third party(ies) or the law.
Back to top
Procedure in the event of suspected misconduct in research

Referrals
7. A judgement should be made, usually by the Head of Department, as to whether an allegation relates to a disciplinary matter which should be determined under another procedure.
8. Allegations of potential Misconduct in Research should be made in good faith in writing, accompanied by all the supporting evidence which the Reporter wishes to be considered, and addressed in confidence to the Registrar (via registrar@admin.ox.ac.uk or to: The Registrar, University of Oxford, University Offices, Wellington Square, Oxford OX1 2JD).
9. The Registrar or the Deputy Registrar will fulfil the roles allocated to the Registrar in this Code, but for simplicity, only the Registrar is named throughout.
10. The Registrar may, at their discretion, consider anonymous allegations and assess the seriousness of the issues, their credibility, and the feasibility of confirming the allegation with credible sources. Depending on the outcome of that assessment, the Registrar may elect, at their discretion, to investigate anonymous allegations in accordance with this Procedure.
Acknowledgement and Notification
11.The Registrar will acknowledge receipt of allegations within five (5) working days and will advise the Reporter of the procedure to be followed. The Registrar will also normally notify the Subject of the allegation, where they consider it appropriate to do so.
12. The Registrar will consider whether there are any third parties who may have a legitimate interest in the outcome that should be notified of the allegation. This may include a funding body or other third party or institution (such as a journal or publisher, legal/regulatory body, NHS Trust, co-author, or employer of a research collaborator) that has an interest in the allegation of Misconduct in Research. Where an allegation involves a student matriculated at another institution or (in cases where the individual is no longer based at or employed by the University) an employee at another institution, the institution may be notified accordingly.
Preliminary Review
13. Following receipt of an allegation, the Registrar will conduct a preliminary review in order to determine whether further investigation is required. The purpose of the preliminary review is to evaluate the facts of the allegations to determine whether the allegation of Misconduct in Research is: (i) frivolous; (ii) vexatious; (iii) repeated; and/or (iv) mistaken, and/or whether the misconduct alleged is minor such that it may be addressed informally, or whether the allegation relates to a disciplinary matter which should be dealt with under another procedure or whether the allegation requires further investigation as set out in section 20 below. This review will be conducted in a timely manner and the Registrar may seek advice from senior academic members of the University.  In the event that the allegations relate to the conduct of a student, the Registrar will consult with the Proctors and may refer these allegations to the Proctors for further investigation.
14. Where an allegation concerns a situation that requires immediate action to prevent risk or harm to staff, participants or other persons, suffering to animals or negative environmental consequences (where this might contravene the law or fall below good practice) the Registrar may take appropriate action to ensure that any potential or actual danger, illegal activity or risk is prevented or eliminated. If the Registrar takes action such action will be administrative not disciplinary at this stage, pending the outcome of the investigation.
15. Having conducted the preliminary review, the Registrar will determine whether the case:
* should proceed to a further investigation under section 19 below or whether the allegation relates to a disciplinary matter which should be determined under another procedure;
* should be referred to the Head of Department (or Head of Division or equivalent where there is a conflict of interest) where the research was conducted if there is no evidence of research misconduct, but instead should be considered as poor research practice;
* should be referred to the Head of Department (or Head of Division or equivalent where there is a conflict of interest) where the research was conducted if this refers to a dispute over authorship or if the alleged misconduct is minor and should be resolved within the Department; or
* does not require further investigation.
16. If the Registrar determines that further investigation is not required, the allegation may be dismissed or addressed under another applicable University policy or procedure or through education and training or any other non-disciplinary approach.  The Registrar may also dismiss at this stage allegations which they consider to be i) frivolous; (ii) vexatious; (iii) repeated; and/or (iv) mistaken, and may consider recommending that action be taken against the Reporter. Anyone making allegations in good faith will not be penalised.
17. The Registrar will provide the Reporter with a written determination summarising the reasons for the decision reached following the preliminary review. If the Subject has been notified of the allegation (see section 11 above) they will also be provided with a copy of the Registrar’s written determination.
18. Where necessary, the written determination will be in the form of a Completion of Procedures letter. Students may submit their complaint to the Office of the Independent Adjudicator for Higher Education (OIA) for review if they remain dissatisfied following completion of the University's procedures. This must be submitted within twelve (12) months of the date of the Completion of Procedures letter.
Legal & Regulatory Bodies
19. Following the preliminary review, in the event that the nature of the allegation is such that the Registrar considers it necessary to notify legal or regulatory authorities, (for example where the alleged activity would constitute a criminal offence) any investigation led by a legal or regulatory body will take precedence over this procedure.  This procedure may need to be suspended to be concluded at a later date, or may be declared unnecessary by the Registrar.
Investigation
20. If the Registrar determines that there is a case which requires further investigation, the Registrar or a person duly authorised on their behalf shall set up a Panel to enquire into the allegations. This shall normally consist of three members, to include a member of the department or faculty with relevant expertise, and a member of the University or a college from outside the department or faculty, if possible, with relevant expertise and one member who must be external to the University. Members of the Panel must have no conflict of interest in the case, be unbiased and have the appropriate knowledge and experience to evaluate the issues under investigation. One of these members will be appointed to Chair the Panel.  The Panel will be charged with examining and evaluating the facts of the allegations and all relevant evidence to determine whether an act of Misconduct in Research has been committed, who is responsible and the seriousness of the Misconduct in Research, in order to report to the Registrar. The standard of proof used by the Panel will be that of ""on the balance of probabilities"".      
21. The Registrar or the person duly authorised on their behalf shall require the production of such records as are necessary to enable the investigation to proceed and shall secure their safe keeping.
22. The Subject shall be informed by the Registrar or the person duly autho",None,7/14/25,8/1/25,8/23/25,1,1,1,1,4,04_Policy for using Generative AI in Research_ guidelines for researchers and professional staff _ University of Oxford.mhtml
