id,univ_name_cn,univ_name_en,shanghairank_2025,Inst_type,tool_name,check_level,check_framework(0/1),tool_specified(0/1),linked_to_pass(0/1),retrieval_rd1(2025.5.6-5.29),retrieval_rd1(2025.6.1-6.14),retrieval_rd1(6.18-7.11)
1,清华大学,Tsinghua University,1,comprehensive universities,,,0,0,0,2025/5/6,2025/6/1,2025/6/18
2,北京大学,Peking University,2,comprehensive universities,,,0,0,0,2025/5/6,2025/6/1,2025/6/18
3,浙江大学,Zhejiang University,3,comprehensive universities,VIPS AIGC Detection System,undergraduate,1,1,0,2025/5/6,2025/6/1,2025/6/18
4,上海交通大学,Shanghai Jiao Tong University,4,comprehensive universities,,,0,0,0,2025/5/6,2025/6/2,2025/6/18
5,复旦大学,Fudan University,5,comprehensive universities,,,0,0,0,2025/5/7,2025/6/2,2025/6/18
6,南京大学,Nanjing University,6,comprehensive universities,VIPS AIGC Detection System,undergraduate,1,1,0,2025/5/7,2025/6/2,2025/6/18
7,中国科学技术大学,University of Science and Technology of China,7,science and engineering universities,,,0,0,0,2025/5/7,2025/6/2,2025/6/19
8,武汉大学,Wuhan University,8,comprehensive universities,,,0,0,0,2025/5/7,2025/6/2,2025/6/19
9,华中科技大学,Huazhong University of Science and Technology,9,comprehensive universities,CNKI (China National Knowledge Infrastructure) Detection System,undergraduate,1,1,1,2025/5/8,2025/6/2,2025/6/19
10,西安交通大学,Xi'an Jiaotong University,10,comprehensive universities,,undergraduate,0,0,0,2025/5/8,2025/6/3,2025/6/19
11,北京航空航天大学,Beihang University,11,science and engineering universities,,,0,0,0,2025/5/8,2025/6/3,2025/6/19
12,中山大学,Sun Yat-sen University,12,comprehensive universities,,,0,0,0,2025/5/8,2025/6/3,2025/6/20
13,北京理工大学,Beijing Institute of Technology,13,comprehensive universities,,,0,0,0,2025/5/9,2025/6/3,2025/6/20
14,北京协和医学院,Peking Union Medical College,医1,medical universities,,,0,0,0,2025/5/9,2025/6/3,2025/6/20
15,哈尔滨工业大学,Harbin Institute of Technology,14,science and engineering universities,,,0,0,0,2025/5/9,2025/6/3,2025/6/20
