"id","univ_name_cn","univ_name_en","sample_group","source_url","markdown_relpath","text_source_used","d1_harmonized","d1_harmonized_basis","d1_harmonized_evidence","d2_harmonized","d2_harmonized_basis","d2_harmonized_evidence"
3,"浙江大学","Zhejiang University","mandated_detection","https://physics.zju.edu.cn/2025/0415/c70896a3038237/page.psp","00_source_material/04_policy_markdown/01_chinese_original/03_【2025届本科生毕业论文5号】关于本科生毕业论文（设计）查重的说明.md","policy_markdown",1,"markdown_direct","送给自己的指导老师。 五、其他说明 1. 原则上，每位学生在教务系统只能点击1次“上传查重网站”进行检测，请勿上传无关内容进行检测。 2. 本次 AIGC 检测 结果仅作为毕业论文（设计）质量的参考依据，供指导教师、答辩委员等有针对性地核实学生掌握相关专业知识与能力的情况，不作为强制性评价标准，不与论文通过与否直接挂钩。 如有其它疑问，请咨询本科教学科陆晓清 电话： 0571-87951684 邮箱： luxiaoqing@zju.edu.cn 附件： 毕业论文（设计）查重常见问题(Q&A).doc 物理学院 2025年4月17日",0,"markdown_direct",""
4,"上海交通大学","Shanghai Jiao Tong University","non_detection_governance","https://plan.sjtu.edu.cn/info/1025/4295.htm",,"threshold_plus_policy_summary",0,"fallback_summary","",0,"fallback_summary",""
5,"复旦大学","Fudan University","non_detection_governance","https://www.fudan.design/ai.html",,"threshold_plus_policy_summary",0,"fallback_summary","",1,"fallback_summary",". Confidential Content: For undergraduate theses (designs) involving confidential content, the use of any AI tools and the uploading of any data or images to AI platforms are prohibited. Article 5: Disclosure and Declaration When using AI tools, the following information must be clearly disclosed in the undergraduate thesis (design) commitment statement: The name and version of the AI tool used, as well as the time and"
6,"南京大学","Nanjing University","mandated_detection","https://jw.nju.edu.cn/99/f7/c26263a760311/page.htm","00_source_material/04_policy_markdown/01_chinese_original/06_关于加强2025年本科毕业论文（设计）管理工作的通知.md","policy_markdown",1,"markdown_direct","为引导同学们合理规范使用生成式人工智能工具，确保最终学术成果的原创性和学术诚信，本届毕业论文面向学院开放“维普 AIGC 检测 ”, 由学院自主选择使用检测功能（是否需要检测请以各学院通知为准）。该功能可为学生提供 单次 免费检测服务，其检测结果是基于算法模型的概率性分析，存在技术局限性，仅作为学术规范性辅助参考，不作为论文原创性判定依据。 AIGC 检测分为学生检测或者学院集中上传两种模式。需通过毕业论文管理系统，维普检测系统学校专用登录地址 https://cloud.fanyu.com/organ/lib/nju 。 学生账号：学号 初始密码： nj",1,"markdown_direct","学院集中上传两种模式。需通过毕业论文管理系统，维普检测系统学校专用登录地址 https://cloud.fanyu.com/organ/lib/nju 。 学生账号：学号 初始密码： nju 学号（例如： nju2025123 ） 检测完成后，学院及学生均可在系统中查询到 AIGC 检测结果。请各位同学务必注意，在毕业论文生成式人工智能工具使用过程应进行申请备案、并进行完整过程记录以及监督，论文终稿应附《南京大学本科毕业论文（设计）人工智能使用备案表》，所有 AIGC 检测相关文件以及操作说明请查看附件中 AIGC 检测相关文件。 四、论文抽检 根据教育部《本科毕业论文（设计）抽检办法（试行 ) 》要求，所有的本科生完成学位授予后，论文将上传至全国本科毕业论文抽检信息平台，参加教育部组织的论文抽检。 我校将严格实行论文查重和抽检制度，严厉杜绝撰写过程中抄袭、代写、买卖及篡改已有科研成果等学术不端行为。为进一步规范本科毕业论文管理，本年度学校"
9,"华中科技大学","Huazhong University of Science and Technology","mandated_detection","https://energy.hust.edu.cn/info/1099/6770.htm","00_source_material/04_policy_markdown/01_chinese_original/09_关于做好2025届本科毕业设计(论文)检测工作的通知.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
16,"四川大学","Sichuan University","mandated_detection","https://jwc.scu.edu.cn/info/1047/9802.htm","00_source_material/04_policy_markdown/01_chinese_original/15_关于开展2025届本科毕业论文（设计）学术不端行为检测工作的通知-四川大学教务处.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
17,"东南大学","Southeast University","mandated_detection","https://jwc.seu.edu.cn/2024/0424/c21681a488726/page.htm","00_source_material/04_policy_markdown/01_chinese_original/16_关于2024届本科毕业设计（论文）报告提交及查重检测工作的说明.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
23,"山东大学","Shandong University","non_detection_governance","https://www.pharm.sdu.edu.cn/bkjy/info/1011/2006.htm",,"threshold_plus_policy_summary",0,"fallback_summary","",1,"fallback_summary","use AI writing tools effectively and reasonably, treating them solely as supplementary aids to ensure the independent creation of the core content of the thesis. If AI writing tools are utilized, the usage must be explicitly documented in relevant sections of the thesis, such as the references or acknowledgments. Any act of using AI writing tools to ghostwrite a thesis, once discovered and verified, will be regarded as academic mis"
24,"南开大学","Nankai University","non_detection_governance","https://jwc.nankai.edu.cn/2024/1128/c36069a557776/page.htm",,"threshold_plus_policy_summary",0,"fallback_summary","",0,"fallback_summary",""
26,"中国农业大学","China Agricultural University","non_detection_governance","https://yt.cau.edu.cn/art/2025/3/19/art_43337_1056264.html",,"threshold_plus_policy_summary",0,"fallback_summary","",0,"fallback_summary",""
27,"吉林大学","Jilin University","mandated_detection","https://csw.jlu.edu.cn/info/1095/7833.htm","00_source_material/04_policy_markdown/01_chinese_original/26_关于软件学院2025届本科生毕业论文（设计）评阅抽检工作的通知-吉林大学软件学院.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
28,"中南大学","Central South University","mandated_detection","https://gra.csu.edu.cn/info/1021/40210.htm","00_source_material/04_policy_markdown/01_chinese_original/27_关于2025年上学期研究生学位授予工作有关事项的通知-研究生院.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
39,"南京航空航天大学","Nanjing University of Aeronautics and Astronautics","mandated_detection","https://cca.nuaa.edu.cn/2025/0401/c15586a371393/page.htm","00_source_material/04_policy_markdown/01_chinese_original/36_【本科生教学】关于在2025届本科毕业设计（论文）中规范AI工具使用的通知.md","policy_markdown",0,"markdown_direct","",1,"markdown_direct","接使用未经核实的AI工具生成内容，利用AI工具编造、伪造研究数据或篡改实验结果、原始图片等。 3.规避查重：禁止通过AI工具对论文进行“同义改写”“结构重组”等操作以规避查重检测。 4.涉密内容处理：涉及隐私、保密的文字和数据不得上传至AI平台，确保信息安全。 四、标注与说明 学生在本科毕业设计（论文）中使用AI工具应事先征得指导教师同意，并遵循学校及院系相关规定，在《本科毕业论文（设计）AI工具使用情况说明表》（附件1）中明确标注使用的AI工具及其作用，指导教师需对学生AI工具使用的合规性进行审核，确保不影响学生创新能力培养。 五、AIGC检测与违规处理 学校提供AIGC（Artificial Intelligence Generated Content，人工智能生成内容）检测平台辅助指导教师开展毕业设计（论文）指导，学院将在抄袭检测后，按不低于10%的比例组织AIGC抽查检测，检测结果显示的智能"
44,"西安电子科技大学 ","Xidian University","mandated_detection","https://bksy.xidian.edu.cn/info/1003/26112.htm","00_source_material/04_policy_markdown/01_chinese_original/40_关于2025年（2021级）本科生毕业设计（论文）盲审工作安排的通知-本科生院 西安电子科技大学.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
46,"北京交通大学","Beijing Jiaotong University","mandated_detection","https://civil.bjtu.edu.cn/media/attachments/2025/04/20250429174928_210.pdf
https://civil.bjtu.edu.cn/cms/item/23750.html","00_source_material/04_policy_markdown/01_chinese_original/42_北京交通大学关于做好2025届本科毕业论文后期工作的通知.md","policy_markdown",1,"manual_override","Fallback summary indicates AIGC detector reliability/effectiveness is limited in first rollout; outputs are reference-only.",0,"markdown_direct",""
58,"西南交通大学","Southwest Jiaotong University","mandated_detection","http://jwc.swjtu.edu.cn/vatuu/WebAction?setAction=newsDetail&viewType=web&newsId=92FC166F4FED41B7","00_source_material/04_policy_markdown/01_chinese_original/52_关于开展2025届本科毕业设计（论文）评阅、学术不端系统检测的通知-VATUU为途教学信息服务平台.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
61,"中国地质大学（武汉）","China University of Geosciences","mandated_detection","https://bksy.cug.edu.cn/info/1489/11884.htm","00_source_material/04_policy_markdown/01_chinese_original/54_关于做好本科毕业论文（设计）、查重检测及抽检相关工作的通知-中国地质大学本科生院.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
62,"对外经贸大学","University of International Business and Economics","non_detection_governance","https://yjsy.uibe.edu.cn/cms/infoSingleArticle.do?articleId=7594&columnId=2195",,"threshold_plus_policy_summary",0,"fallback_summary","",1,"fallback_summary","couraged. Article 8 Content completed with the assistance of AI technologies must be appropriately marked in the relevant sections of the work. The name, version, date, and usage process of the tool must be declared in sections such as notes, acknowledgments, references, or appendices. Article 9 The use of AI technologies to process confidential content is prohibited. Article 10 Students must submit an Artificial Intelligence Technology Use Declaration before their thesis defens"
72,"上海大学","Shanghai University","non_detection_governance","https://jwb.shu.edu.cn/__local/0/0F/8A/EBDEC00102395B0777024691752_BF6157BE_2F747.pdf",,"threshold_plus_policy_summary",0,"fallback_summary","",1,"fallback_summary",", the use of any AI tools is prohibited, and uploading any data or images to AI platforms is strictly forbidden. When using AI tools, students must clearly disclose the following information in the ""Statement on the Use of AI Tools"" section of their undergraduate graduation thesis (design): (1) The name and version of the AI tool used, as well as the time and specific purpose of use; (2) The specific sections of the thesis wher"
80,"西南大学","Southwest University","mandated_detection","https://ugs.swu.edu.cn/info/1012/3674.htm","00_source_material/04_policy_markdown/01_chinese_original/66_关于开展2025届本科毕业论文（设计）检测、抽检及答辩工作的通知-西南大学本科生院.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
