"id","univ_name_cn","univ_name_en","Inst_type","check_framework","sample_group","policy_scope","tool_specified","linked_to_pass","source_url","markdown_relpath","markdown_method","text_source_used","human_review_requirement","appeal_right_reply","transparency_records","detector_not_sole_evidence","error_limitation_disclosure","ai_use_disclosure_statement","d3_responsibility","d4_ai_as_aid","safeguard_coverage_score","any_md_aux_discordance","needs_manual_check"
9,"华中科技大学","Huazhong University of Science and Technology","comprehensive universities",1,"mandated_detection","college-level",1,1,"https://energy.hust.edu.cn/info/1099/6770.htm","00_source_material/04_policy_markdown/01_chinese_original/09_关于做好2025届本科毕业设计(论文)检测工作的通知.md","manual_snapshot_match","policy_markdown",1,0,0,0,0,0,1,1,1,1,1
120,"南京工业大学","Nanjing Tech University","science and engineering universities",1,"mandated_detection","",1,1,"https://jwc.njtech.edu.cn/info/1160/5987.htm","00_source_material/04_policy_markdown/01_chinese_original/94_关于做好2025届本科毕业设计（论文）查重和AIGC检测工作的通知-教务处.md","manual_snapshot_match","policy_markdown",0,0,1,0,0,0,0,0,1,1,1
39,"南京航空航天大学","Nanjing University of Aeronautics and Astronautics","science and engineering universities",1,"mandated_detection","",0,1,"https://cca.nuaa.edu.cn/2025/0401/c15586a371393/page.htm","00_source_material/04_policy_markdown/01_chinese_original/36_【本科生教学】关于在2025届本科毕业设计（论文）中规范AI工具使用的通知.md","manual_snapshot_match","policy_markdown",0,0,1,0,0,1,1,1,1,2,1
16,"四川大学","Sichuan University","comprehensive universities",1,"mandated_detection","university-level",0,1,"https://jwc.scu.edu.cn/info/1047/9802.htm","00_source_material/04_policy_markdown/01_chinese_original/15_关于开展2025届本科毕业论文（设计）学术不端行为检测工作的通知-四川大学教务处.md","index_dataset_row_id","policy_markdown",0,0,1,0,0,0,0,0,1,1,1
17,"东南大学","Southeast University","comprehensive universities",1,"mandated_detection","university-level",1,1,"https://jwc.seu.edu.cn/2024/0424/c21681a488726/page.htm","00_source_material/04_policy_markdown/01_chinese_original/16_关于2024届本科毕业设计（论文）报告提交及查重检测工作的说明.md","manual_snapshot_match","policy_markdown",0,0,1,0,0,0,0,0,1,1,1
118,"浙江师范大学","Zhejiang Normal University","normal (teacher education) universities",1,"mandated_detection","",0,1,"https://smxy.zjnu.edu.cn/2025/0416/c17162a515544/page.htm","00_source_material/04_policy_markdown/01_chinese_original/92_关于2025届本科毕业论文中后期工作的通知.md","manual_snapshot_match","policy_markdown",0,0,1,0,0,0,0,0,1,1,1
87,"北京工业大学","Beijing University of Technology","science and engineering universities",1,"mandated_detection","",0,1,"https://undergrad.bjut.edu.cn/info/1216/3215.htm","00_source_material/04_policy_markdown/01_chinese_original/72_关于开展2025届本科生毕业设计（论文）工作的通知-北京工业大学教务处.md","index_dataset_row_id","policy_markdown",0,0,0,0,0,0,0,0,0,0,0
61,"中国地质大学（武汉）","China University of Geosciences","science and engineering universities",1,"mandated_detection","",0,1,"https://bksy.cug.edu.cn/info/1489/11884.htm","00_source_material/04_policy_markdown/01_chinese_original/54_关于做好本科毕业论文（设计）、查重检测及抽检相关工作的通知-中国地质大学本科生院.md","manual_snapshot_match","policy_markdown",0,0,0,0,0,0,0,0,0,0,0
103,"东北财经大学","Dongbei University of Finance and Economics","finance and economics universities",1,"mandated_detection","",0,1,"https://surrey.dufe.edu.cn/content_91162.html","00_source_material/04_policy_markdown/01_chinese_original/财6_关于开展2025届本科生毕业论文(设计)检测工作的通知 -- 通知公告 -- 东北财经大学萨里国际学院.md","index_dataset_row_id","policy_markdown",0,0,0,0,0,0,0,0,0,0,0
96,"福州大学","Fuzhou University","science and engineering universities",1,"mandated_detection","",0,1,"https://jzxy.fzu.edu.cn/info/1013/3232.htm","00_source_material/04_policy_markdown/01_chinese_original/77_关于做好2025届本科生毕业设计（论文）工作的通知-福州大学-建筑与城乡规划学院.md","index_dataset_row_id","policy_markdown",0,0,0,0,0,0,0,1,0,1,1
